File_Path,Emotion,Gender,Duration,dataset_name
./Emotion_Speech_Dataset/0020/Happy/0020_000928.wav,hap,male,3.85,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000914.wav,hap,male,3.088,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000900.wav,hap,male,3.834,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000733.wav,hap,male,3.534,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000727.wav,hap,male,3.312,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000848.wav,hap,male,5.519,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000860.wav,hap,male,3.174,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000874.wav,hap,male,3.506,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001029.wav,hap,male,4.367,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001001.wav,hap,male,3.154,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001015.wav,hap,male,4.443,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001014.wav,hap,male,3.071,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001000.wav,hap,male,3.054,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000875.wav,hap,male,3.901,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000732.wav,hap,male,4.58,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000901.wav,hap,male,3.517,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000915.wav,hap,male,3.424,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000929.wav,hap,male,3.318,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000917.wav,hap,male,3.306,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000724.wav,hap,male,3.332,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000718.wav,hap,male,3.291,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000877.wav,hap,male,3.322,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000863.wav,hap,male,3.711,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001002.wav,hap,male,3.21,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001017.wav,hap,male,3.54,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000889.wav,hap,male,3.054,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000862.wav,hap,male,3.111,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000876.wav,hap,male,6.423,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000731.wav,hap,male,5.219,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000725.wav,hap,male,3.349,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000906.wav,hap,male,3.039,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000709.wav,hap,male,3.38,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000721.wav,hap,male,3.027,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000735.wav,hap,male,4.354,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000866.wav,hap,male,3.256,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000899.wav,hap,male,4.743,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001013.wav,hap,male,3.25,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001007.wav,hap,male,3.379,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001006.wav,hap,male,4.581,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_001012.wav,hap,male,3.408,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000898.wav,hap,male,3.973,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000734.wav,hap,male,4.286,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000720.wav,hap,male,3.37,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000913.wav,hap,male,3.82,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000907.wav,hap,male,4.31,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000911.wav,hap,male,4.633,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000905.wav,hap,male,3.15,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000939.wav,hap,male,4.071,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000736.wav,hap,male,3.578,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000722.wav,hap,male,4.079,Emotion_Speech_Dataset
./Emotion_Speech_Dataset/0020/Happy/0020_000865.wav,hap,male,3.772,Emotion_Speech_Dataset
